Rótulos de Linha;Soma de 2005-02;Soma de 2005-03;Soma de 2005-04;Soma de 2005-05;Soma de 2005-06;Soma de 2005-07;Soma de 2005-08;Soma de 2005-09;Soma de 2005-10;Soma de 2005-11;Soma de 2005-12;Soma de 2006-01;Soma de 2006-02;Soma de 2006-03;Soma de 2006-04;Soma de 2006-05;Soma de 2006-06;Soma de 2006-07;Soma de 2006-08;Soma de 2006-09;Soma de 2006-10;Soma de 2006-11;Soma de 2006-12;Soma de 2007-01;Soma de 2007-02;Soma de 2007-03;Soma de 2007-04;Soma de 2007-05;Soma de 2007-06;Soma de 2007-07;Soma de 2007-08;Soma de 2007-09;Soma de 2007-10;Soma de 2007-11;Soma de 2007-12;Soma de 2008-01;Soma de 2008-02;Soma de 2008-03;Soma de 2008-04;Soma de 2008-05;Soma de 2008-06;Soma de 2008-07;Soma de 2008-08;Soma de 2008-09;Soma de 2008-10;Soma de 2008-11;Soma de 2008-12;Soma de 2009-01
AMPS;262.069;255.857;250.086;190.379;178.466;172.767;170.215;152.254;157.039;138.490;148.653;146.068;127.427;121.428;118.859;122.923;114.212;115.411;90.136;85.286;70.588;65.109;61.462;60.103;54.853;53.826;51.568;45.339;44.595;41.197;32.135;23.911;23.402;22.965;15.581;15.243;13.087;12.551;12.239;11.837;11.139;10.414;12.491;13.234;12.304;11.933;11.546;7.176
CDMA;19.839.332;20.155.526;20.734.195;21.572.409;21.983.385;22.165.324;22.552.092;22.711.423;22.927.675;23.238.194;24.022.557;24.533.762;24.611.441;24.811.128;24.955.739;25.369.834;24.011.592;24.458.744;25.022.719;25.124.771;25.338.882;25.267.789;26.004.137;25.853.004;25.848.639;25.797.593;25.299.719;24.684.803;24.523.163;23.936.686;23.354.726;22.683.205;22.091.902;21.505.544;20.881.790;20.116.634;19.394.403;18.736.861;18.093.579;17.427.560;16.779.021;15.663.300;15.055.573;14.518.166;14.020.102;13.320.687;12.732.287;12.354.971
CDMA2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;517.209;505.194;466.469;276.389;452.816;263.375
Dados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.858;3.221;3.214;1.438.593;2.011.777;2.050.673;2.133.991
GSM;24.841.716;26.311.850;28.377.427;31.277.428;33.037.780;34.396.394;37.043.742;38.380.197;39.839.106;41.037.976;44.628.734;46.009.905;46.931.697;48.621.573;50.098.252;52.055.913;53.725.632;55.226.564;57.346.186;58.708.131;59.847.369;60.989.781;63.544.574;64.567.422;65.476.848;67.003.612;68.604.026;71.899.693;74.388.344;77.264.527;80.781.478;83.649.878;86.608.846;89.228.093;94.925.545;97.903.131;100.213.276;106.070.998;105.690.937;109.483.087;113.002.115;115.489.024;119.217.721;121.946.989;126.033.693;128.918.893;132.887.396;134.470.947
TDMA;22.469.913;21.911.933;21.428.597;20.700.168;20.318.043;19.844.485;19.181.283;18.753.356;18.315.910;17.936.984;17.410.392;16.781.176;16.394.753;15.854.590;15.411.337;14.828.666;13.908.735;13.246.063;12.445.957;11.952.716;11.384.960;11.009.100;10.308.448;10.236.612;9.806.369;9.297.406;8.919.923;8.460.700;7.706.966;7.277.254;6.761.557;6.396.270;5.966.154;5.557.225;5.157.187;4.822.569;4.501.713;4.237.563;3.946.001;3.635.876;3.374.282;3.155.918;2.643.005;2.357.754;1.882.473;1.499.602;1.153.580;1.070.481
WCDMA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.989;1.009.466;971.679;1.444.011;941.984;1.013.116;1.353.105;1.648.136
Total Geral;67.413.030;68.635.166;70.790.305;73.740.384;75.517.674;76.578.970;78.947.332;79.997.230;81.239.730;82.351.644;86.210.336;87.470.911;88.065.318;89.408.719;90.584.187;92.377.336;91.760.171;93.046.782;94.904.998;95.870.904;96.641.799;97.331.779;99.918.621;100.717.141;101.186.709;102.152.437;102.875.236;105.090.535;106.663.068;108.519.664;110.929.896;112.753.264;114.690.304;116.313.827;120.980.103;122.857.577;124.122.479;129.057.973;127.742.756;130.558.360;133.168.546;135.330.980;138.420.899;140.788.562;144.795.618;147.052.397;150.641.403;151.949.077
