Tipo;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12
Pré-pago;124307399;125415158;126158288;128756443;130596366;132625256;135026334;136562865;138241276;139774792;143600507;145083416;145911676;147730397;148874754;151375269;152394841;153772792;155703860;157283453;159811754;162402406;167097347;168889793;170681009;173006208;174517559;176242345;177902124;180140190;183128433;185614241;189067563;192763041;198168285;200715231;202774816;205241379;206917116;208492243;209218607;208952889;209652513;210166021;209883206;210029983;210877855;210772069;211136009;211385684;211217786;211504425;211068799;211544256;212226063;211339326;212095974;212009889;211582767;212293343;212085325;212208580;211630231;212604628;212270648;212227238;212856367;213015910;213137290;213519140;212930291
Pós-pago;28057587;28257981;28438355;28745370;29017141;29297119;29512683;29557923;29795754;29979117;30358861;30515844;30859362;31379404;31890684;32335575;32740133;33248379;33724535;34188689;34627496;35131580;35846686;36261184;36885203;37503354;38042645;38782285;39443838;40212522;40893704;41737828;42565957;43320574;44063218;44463809;44843232;45584992;46065028;46456739;47496163;47457901;48248860;48695216;49422645;50035386;50930048;51485511;51907319;52666889;53333817;54021470;54672418;55454928;56214360;56927496;57828001;58508986;59517032;60059898;60637938;61374896;61968736;62847204;63436265;63925873;64552192;65466215;66216867;66952744;67798505
