Tipo;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05
Pré-pago;213400724;213792336;213916451;213457787;213592734;211430156;209984953;208022293;203561797;201343994;196612514;184540932;183795717;184409101;184093167;182395502;180883298;178758244;177417876;176193010;174455175;170122484;169985845;164699571;163792175;162808749;162315708;161445974;160712304;160196791;159236470;158482969;156342200;155058524;152092201;148509361;147443466;146041021;145149859;144162681;143014654
Pós-pago;68319677;68784905;69503346;70080222;70581514;71044129;71484898;72020309;72347345;72472157;72998751;73273342;73452333;73653676;73717489;74033593;74348379;74649548;75155965;75888474;76573237;77331165;78462298;79367785;79627404;80110222;80474586;80889231;81405873;81927658;82774879;83684535;84720755;85792157;86999581;87979187;88786418;89614484;90636336;91543289;92436916
