Tipo;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05
Banda Estreita Móvel;118760049;116527149;112936966;107379484;104130537;101224857;98647143;95026266;91361523;88238190;84598393;77328508;75833228;75036194;74193588;72432024;70919862;69865095;68038039;66718766;65355687;63870705;63198136;60363243;59086890;59445850;56430686;55672384;54428431;53740449;53036013;51767019;50754451;50038688;48770570;47633406;46836846;46401323;46047991;45740271;45055293
Banda Larga Móvel;162960352;166050092;170482831;176158525;180043711;181249428;182822708;185016336;184547619;185577961;185012872;180485766;181414822;183026583;183617068;183997071;184311815;183542697;184535802;185362718;185672725;183582944;185250007;183704113;184332689;183473121;186359608;186662821;187689746;188384000;188975336;190400485;190308504;190811993;190321212;188855142;189393038;189254182;189738204;189965699;190396277
