Tipo;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12
Banda Estreita Móvel;150318396;150650942;151265965;153839361;155613740;157709665;160073512;161270740;161112526;163142222;166886491;165016280;165466328;167049760;168086341;170346654;171163113;172334564;174319226;175313580;177424172;179788748;184030163;184299664;185705600;187805879;188782770;190535966;191283774;192696444;194228667;195039019;196290923;199702127;203616876;202633072;203061398;201580767;207267708;209780422;203341041;202463807;201822003;201581899;200287908;197503092;202622837;201615054;197360913;195791602;193620806;191392162;188307248;186009811;183129130;179953294;177288459;174117822;167992230;165957235;162535375;159166652;155184159;151784897;147186212;143227450;138562023;135012197;132906000;128166127;122832102
Banda Larga Móvel;2037819;3022197;3330678;3662452;3999767;4212710;4465505;4850048;6924504;6611687;7072877;10582980;11304710;12060041;12679097;13364190;13971861;14686607;15109169;16158562;17015078;17745238;18913870;20851313;21860612;22703683;23777434;24488664;26062188;27656268;29793470;32313050;35342597;36381488;38614627;42545968;44556650;49245604;45714436;45168512;52790026;53946983;56079370;57279338;59017943;62562277;59185066;60642526;65682415;68260971;70930797;74133733;77433969;80989373;85311293;88313528;92635516;96401053;103107569;106396006;110187888;114416824;118414808;123666935;128520701;132925661;138846536;143469928;146448157;152305757;157896694
