Tipo;2005-01;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01
Pré-pago;53568690;54154978;55091912;56999156;59710559;61214747;62045421;64085644;64875660;65766251;66583556;69670050;70657775;70991654;71973979;72934857;74393448;73904919;74928120;76594802;77393256;78060088;78489859;80555682;81154090;81448823;82166834;82655311;84451486;85795469;87121492;89124494;90607100;92157931;93377083;97576507;99217125;100379084;101748647;103278048;105682722;107910369;109610874;112254395;114164195;117636699;119541611;122731549;123971578
Pós-pago;13033239;13258052;13543254;13791149;14029825;14302927;14533549;14861688;15121570;15473479;15768088;16540286;16813136;17073664;17434740;17649330;17983888;17855252;18118662;18310196;18477648;18581711;18841920;19362939;19563051;19737886;19985603;20219925;20639049;20867599;21398091;21805321;22146164;22532373;22936744;23403596;23640452;23743395;24062416;24464708;24875638;25258177;25720106;26166504;26624367;27158919;27510786;27909854;27977499
