Rótulos de Linha;Soma de 2005-02;Soma de 2005-03;Soma de 2005-04;Soma de 2005-05;Soma de 2005-06;Soma de 2005-07;Soma de 2005-08;Soma de 2005-09;Soma de 2005-10;Soma de 2005-11;Soma de 2005-12;Soma de 2006-01;Soma de 2006-02;Soma de 2006-03;Soma de 2006-04;Soma de 2006-05;Soma de 2006-06;Soma de 2006-07;Soma de 2006-08;Soma de 2006-09;Soma de 2006-10;Soma de 2006-11;Soma de 2006-12;Soma de 2007-01;Soma de 2007-02;Soma de 2007-03;Soma de 2007-04;Soma de 2007-05;Soma de 2007-06;Soma de 2007-07;Soma de 2007-08;Soma de 2007-09;Soma de 2007-10;Soma de 2007-11;Soma de 2007-12;Soma de 2008-01;Soma de 2008-02;Soma de 2008-03;Soma de 2008-04;Soma de 2008-05;Soma de 2008-06;Soma de 2008-07;Soma de 2008-08;Soma de 2008-09;Soma de 2008-10;Soma de 2008-11;Soma de 2008-12;Soma de 2009-01
OI;9.218.014;9.503.941;9.912.281;10.418.767;10.706.776;10.977.170;11.584.983;11.917.574;12.317.035;12.646.482;13.776.692;14.252.802;14.512.250;14.910.207;15.216.392;15.681.492;16.056.503;16.384.348;16.791.978;16.967.646;17.040.826;17.160.280;17.665.541;17.909.244;18.088.659;18.250.210;18.386.141;18.690.615;18.693.797;19.336.822;19.805.912;20.235.636;20.662.604;20.855.861;21.663.169;22.165.849;22.676.060;23.314.325;23.870.161;24.609.960;25.314.354;26.009.964;26.770.183;27.110.279;28.789.314;29.641.847;29.992.586;30.433.908
TELMEX (CLARO/EMBRATEL/NET);13.957.598;14.231.425;14.911.062;15.825.706;16.200.910;16.442.560;17.119.247;17.401.447;17.684.236;17.945.383;18.658.620;18.858.740;18.945.015;19.445.942;19.946.528;20.549.344;20.949.214;21.281.884;21.868.894;22.171.683;22.480.966;22.882.931;23.880.747;24.130.880;24.348.575;24.607.867;24.936.514;25.566.951;26.252.062;26.774.455;27.468.398;27.981.049;28.551.337;29.052.276;30.228.479;30.517.457;30.782.945;31.181.598;31.610.216;32.311.343;33.112.599;33.720.121;34.732.117;35.667.981;36.644.012;37.378.762;38.731.466;39.096.986
ALGAR (CTBC TELECOM);339.545;340.381;339.560;340.066;340.887;343.385;349.355;356.848;368.759;377.604;383.917;389.604;390.993;395.834;400.658;404.586;384.662;385.481;392.001;398.838;421.832;398.620;372.726;371.758;362.821;355.132;347.798;345.341;346.280;344.064;344.625;344.290;347.204;350.150;362.805;369.084;373.199;387.643;387.676;395.858;406.788;417.747;429.919;437.573;441.722;443.897;454.250;458.700
PREFEITURA DE LONDRINA/COPEL;87.312;85.458;85.025;84.704;85.568;83.551;83.777;84.728;84.655;84.093;85.888;85.721;84.508;84.508;84.667;85.204;85.358;83.463;82.277;82.103;86.515;88.720;86.095;88.443;90.732;92.218;90.617;92.158;92.449;90.069;87.487;82.828;78.703;75.471;73.113;72.012;70.996;70.562;70.367;69.644;70.640;71.142;71.628;72.226;74.725;77.260;84.901;89.303
TELEFÔNICA;29.556.678;29.814.732;30.351.223;31.066.117;31.417.797;31.557.472;31.803.196;31.881.501;32.042.419;32.346.204;33.117.851;33.371.971;33.423.082;33.537.916;33.579.559;33.867.084;31.930.034;32.046.143;32.163.838;32.149.635;32.227.578;32.075.803;32.488.639;32.524.030;32.384.067;32.526.196;32.659.854;33.368.398;33.785.864;34.068.304;34.708.836;34.935.618;35.366.297;35.879.000;37.384.351;37.665.655;37.876.596;38.309.414;38.778.604;39.755.038;40.434.814;40.932.934;41.689.763;42.276.553;43.068.487;43.430.854;44.945.049;45.298.647
TELECOM ITALIA (TIM);14.253.883;14.659.229;15.191.154;16.005.024;16.765.736;17.174.832;18.006.774;18.355.132;18.742.626;18.951.878;20.187.368;20.512.073;20.709.470;21.034.312;21.356.383;21.789.626;22.354.400;22.865.463;23.606.010;24.100.999;24.384.082;24.725.425;25.424.873;25.692.786;25.911.855;26.320.814;26.454.312;27.027.072;27.492.616;27.905.950;28.514.638;29.173.843;29.684.159;30.101.069;31.268.186;32.067.520;32.342.683;35.794.431;33.025.732;33.416.517;33.829.351;34.178.995;34.726.339;35.220.301;35.765.093;36.065.669;36.416.363;36.553.996
UNICEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;950;3.649;12.265;14.108;16.788;17.537
Total Geral;67.413.030;68.635.166;70.790.305;73.740.384;75.517.674;76.578.970;78.947.332;79.997.230;81.239.730;82.351.644;86.210.336;87.470.911;88.065.318;89.408.719;90.584.187;92.377.336;91.760.171;93.046.782;94.904.998;95.870.904;96.641.799;97.331.779;99.918.621;100.717.141;101.186.709;102.152.437;102.875.236;105.090.535;106.663.068;108.519.664;110.929.896;112.753.264;114.690.304;116.313.827;120.980.103;122.857.577;124.122.479;129.057.973;127.742.756;130.558.360;133.168.546;135.330.980;138.420.899;140.788.562;144.795.618;147.052.397;150.641.403;151.949.077
