Rótulos de Linha;Soma de 2005-02;Soma de 2005-03;Soma de 2005-04;Soma de 2005-05;Soma de 2005-06;Soma de 2005-07;Soma de 2005-08;Soma de 2005-09;Soma de 2005-10;Soma de 2005-11;Soma de 2005-12;Soma de 2006-01;Soma de 2006-02;Soma de 2006-03;Soma de 2006-04;Soma de 2006-05;Soma de 2006-06;Soma de 2006-07;Soma de 2006-08;Soma de 2006-09;Soma de 2006-10;Soma de 2006-11;Soma de 2006-12;Soma de 2007-01;Soma de 2007-02;Soma de 2007-03;Soma de 2007-04;Soma de 2007-05;Soma de 2007-06;Soma de 2007-07;Soma de 2007-08;Soma de 2007-09;Soma de 2007-10;Soma de 2007-11;Soma de 2007-12;Soma de 2008-01;Soma de 2008-02;Soma de 2008-03;Soma de 2008-04;Soma de 2008-05;Soma de 2008-06;Soma de 2008-07;Soma de 2008-08;Soma de 2008-09;Soma de 2008-10;Soma de 2008-11;Soma de 2008-12;Soma de 2009-01
1;30.015.448;30.446.698;31.507.183;32.850.253;33.675.010;34.201.439;35.476.301;36.010.268;36.723.693;37.323.362;39.327.165;40.083.588;40.465.545;41.187.610;41.882.397;42.930.666;43.331.356;44.094.408;45.202.934;45.830.337;46.171.644;46.505.251;47.728.759;48.202.746;48.549.703;49.058.077;49.491.203;50.599.662;51.443.378;52.708.795;54.120.700;55.151.629;56.250.935;56.951.503;59.425.774;60.541.606;61.280.557;62.203.854;63.260.929;64.715.914;66.133.341;67.462.601;69.175.502;70.315.994;71.800.634;72.717.230;73.778.150;74.206.499
2;20.395.562;20.897.047;21.510.511;22.397.604;22.881.066;23.169.344;23.744.338;24.045.630;24.277.808;24.549.287;25.577.949;25.824.931;25.899.899;26.190.964;26.427.761;26.827.790;25.919.051;26.172.526;26.572.040;26.733.130;26.959.072;27.145.617;27.939.301;28.088.512;28.124.704;28.289.622;28.413.010;28.886.615;29.163.646;29.455.245;29.925.339;30.270.565;30.645.132;31.105.785;32.255.719;32.753.586;32.986.596;33.376.954;33.821.675;34.526.534;35.120.977;35.507.428;36.162.748;36.724.198;37.310.173;37.678.750;38.936.924;39.336.570
3;17.002.020;17.291.421;17.772.611;18.492.527;18.961.598;19.208.187;19.726.693;19.941.332;20.238.229;20.478.995;21.305.222;21.562.392;21.699.874;22.030.145;22.274.029;22.618.880;22.509.764;22.779.848;23.130.024;23.307.437;23.511.083;23.680.911;24.250.561;24.425.883;24.512.302;24.804.738;24.971.023;25.604.258;26.056.044;26.355.624;26.883.857;27.331.070;27.794.237;28.256.539;29.298.610;29.562.385;29.855.326;30.230.255;30.660.152;31.315.912;31.914.228;32.360.951;33.082.649;33.748.370;35.684.811;36.656.417;37.926.329;38.406.008
(vazio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.246.910;;;;;;;;;;
Total Geral;67.413.030;68.635.166;70.790.305;73.740.384;75.517.674;76.578.970;78.947.332;79.997.230;81.239.730;82.351.644;86.210.336;87.470.911;88.065.318;89.408.719;90.584.187;92.377.336;91.760.171;93.046.782;94.904.998;95.870.904;96.641.799;97.331.779;99.918.621;100.717.141;101.186.709;102.152.437;102.875.236;105.090.535;106.663.068;108.519.664;110.929.896;112.753.264;114.690.304;116.313.827;120.980.103;122.857.577;124.122.479;129.057.973;127.742.756;130.558.360;133.168.546;135.330.980;138.420.899;140.788.562;144.795.618;147.052.397;150.641.403;151.949.077
