Tipo;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01
Banda Larga Móvel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1989;1009466;1488888;1949205;1408453;1289505;1805921;1911511
Banda Estreita Móvel;67413030;68635166;70790305;73740384;75517674;76578970;78947332;79997230;81239730;82351644;86210336;87470911;88065318;89408719;90584187;92377336;91760171;93046782;94904998;95870904;96641799;97331779;99918621;100717141;101186709;102152437;102875236;105090535;106663068;108519664;110929896;112753264;114690304;116313827;120980103;122857577;124122479;125811063;127742756;130558360;133166557;134321514;136932011;138839357;143387165;145762892;148835482;150037566
